"Dispatch_id","Ticket_type","Order_type","Priority","Required_skill","Status","City","County","State","Customer_latitude","Customer_longitude","Appointment_start_time","Appointment_end_time","Duration_min","Assigned_technician_id","Distance_km","Actual_duration_min","Productive_dispatch","First_time_fix","Fault_code","Remedy_code","Cause_code","Service_tier","Equipment_installed","Technician_notes"
199990000,Order,install,High,Copper ONT installation,Cancelled,Philadelphia,PHILADELPHIA,PA,40.142574,-75.13775,"2024-10-01 15:45:00","2024-10-01 17:15:00",90,T900006,223.67,84,0,0,,,,Premium,Router_Model_10,Completed successfully
199990001,Order,upgrade,Critical,Service migration,Completed,New York,NEW YORK,NY,41.013714,-74.1265,"2024-10-26 10:15:00","2024-10-26 10:45:00",30,T900121,3448.34,29,1,1,,,,Premium,Router_Model_3,Completed successfully
199990002,Order,install,Low,Router installation,Cancelled,Houston,HOUSTON,TX,29.87226,-95.43586,"2024-08-28 14:45:00","2024-08-28 16:45:00",120,T900107,2769.51,139,1,1,,,,Business,Router_Model_10,Completed successfully
199990003,Order,install,High,GPON equipment setup,Completed,New York,NEW YORK,NY,40.415886,-74.116196,"2024-08-21 10:00:00","2024-08-21 11:30:00",90,T900031,1656.31,110,0,0,,,,Standard,Router_Model_10,Customer satisfied
199990004,Order,install,Critical,Copper ONT installation,Completed,San Diego,SAN DIEGO,CA,32.43984,-117.1384,"2024-10-15 11:30:00","2024-10-15 13:30:00",120,T900143,2407.22,110,1,1,,,,Business,Router_Model_8,Equipment replaced
199990005,Order,upgrade,Critical,Bandwidth upgrade,Cancelled,Los Angeles,LOS ANGELES,CA,33.810772,-118.47009,"2024-08-02 16:00:00","2024-08-02 17:00:00",60,T900086,5453.59,71,0,0,,,,Business,Router_Model_1,Completed successfully
199990006,Trouble,"",High,Service migration,Completed,Austin,AUSTIN,TX,30.443153,-97.81399,"2024-09-15 13:00:00","2024-09-15 15:00:00",120,T900097,208.27,99,1,1,7,18,1,Premium,"",Equipment replaced
199990007,Trouble,"",Low,Line repair,Cancelled,Los Angeles,LOS ANGELES,CA,33.93072,-118.13927,"2024-09-28 14:45:00","2024-09-28 15:45:00",60,T900114,243.15,48,0,0,10,5,7,Standard,"",Completed successfully
199990008,Order,install,Low,Copper ONT installation,Completed,Austin,AUSTIN,TX,30.288363,-97.77575,"2024-09-22 12:15:00","2024-09-22 13:15:00",60,T900095,144.51,60,1,0,,,,Standard,Router_Model_6,Customer satisfied
199990009,Order,install,Low,GPON equipment setup,Cancelled,Dallas,DALLAS,TX,32.70509,-96.80892,"2024-10-26 16:45:00","2024-10-26 17:15:00",30,T900060,1801.38,32,1,0,,,,Premium,Router_Model_3,Customer satisfied
199990010,Trouble,"",High,Service migration,Completed,Houston,HOUSTON,TX,30.023247,-95.42902,"2024-10-02 09:45:00","2024-10-02 11:15:00",90,T900045,15.36,105,1,1,9,4,6,Business,"",Completed successfully
199990011,Trouble,"",Normal,Copper ONT installation,Cancelled,Chicago,CHICAGO,IL,41.944393,-87.7437,"2024-08-06 12:45:00","2024-08-06 13:15:00",30,T900010,1672.78,32,0,0,10,15,13,Business,"",Completed successfully
199990012,Order,upgrade,Low,Bandwidth upgrade,Completed,Los Angeles,LOS ANGELES,CA,34.35255,-118.17899,"2024-08-17 13:00:00","2024-08-17 13:30:00",30,T900069,740.0,29,0,0,,,,Business,Router_Model_6,Completed successfully
199990013,Order,install,High,Copper ONT installation,Cancelled,Chicago,CHICAGO,IL,42.175034,-87.53605,"2024-10-28 15:15:00","2024-10-28 16:45:00",90,T900089,1583.07,82,1,1,,,,Business,Router_Model_5,Customer satisfied
199990014,Order,install,High,Copper ONT installation,Cancelled,Los Angeles,LOS ANGELES,CA,34.18818,-118.03371,"2024-08-13 13:15:00","2024-08-13 13:45:00",30,T900053,3059.36,26,1,1,,,,Standard,Router_Model_8,Equipment replaced
199990015,Order,install,Low,Copper ONT installation,Completed,Los Angeles,LOS ANGELES,CA,34.31529,-118.02584,"2024-09-12 10:45:00","2024-09-12 11:45:00",60,T900076,5374.9,73,0,0,,,,Premium,Router_Model_6,Completed successfully
199990016,Order,upgrade,Critical,Bandwidth upgrade,Completed,Chicago,CHICAGO,IL,41.9252,-87.83333,"2024-08-11 11:00:00","2024-08-11 13:00:00",120,T900014,1714.73,127,0,0,,,,Premium,Router_Model_5,Issue resolved
199990017,Trouble,"",Critical,Connectivity diagnosis,Cancelled,San Antonio,SAN ANTONIO,TX,29.400295,-98.51778,"2024-09-22 09:15:00","2024-09-22 11:15:00",120,T900127,534.03,143,0,0,8,12,9,Business,"",Equipment replaced
199990018,Order,install,Normal,Router installation,Completed,Austin,AUSTIN,TX,30.448782,-97.777405,"2024-10-21 11:45:00","2024-10-21 13:15:00",90,T900083,3566.49,92,1,1,,,,Premium,Router_Model_8,Completed successfully
199990019,Order,upgrade,High,Service migration,Completed,Phoenix,PHOENIX,AZ,33.376568,-112.086365,"2024-08-26 15:45:00","2024-08-26 17:45:00",120,T900089,4831.39,124,1,1,,,,Standard,Router_Model_7,Equipment replaced
199990020,Trouble,"",Normal,GPON equipment setup,Cancelled,San Diego,SAN DIEGO,CA,32.5623,-117.08772,"2024-09-01 16:00:00","2024-09-01 17:30:00",90,T900104,2413.99,78,1,0,7,8,3,Premium,"",Customer satisfied
199990021,Trouble,"",High,Network troubleshooting,Cancelled,San Diego,SAN DIEGO,CA,32.574677,-116.82983,"2024-10-24 14:15:00","2024-10-24 14:45:00",30,T900104,2386.73,25,0,0,6,14,14,Premium,"",Issue resolved
199990022,Trouble,"",Normal,GPON equipment setup,Completed,Phoenix,PHOENIX,AZ,33.1838,-112.43145,"2024-09-21 13:15:00","2024-09-21 15:15:00",120,T900087,4910.82,135,0,0,8,8,12,Premium,"",Completed successfully
199990023,Order,install,Low,Fiber ONT installation,Completed,New York,NEW YORK,NY,40.769527,-73.86084,"2024-08-10 11:15:00","2024-08-10 12:15:00",60,T900017,5652.57,58,1,1,,,,Business,Router_Model_10,Issue resolved
199990024,Order,upgrade,High,Service migration,Completed,Houston,HOUSTON,TX,29.985514,-95.61471,"2024-09-04 10:15:00","2024-09-04 11:45:00",90,T900093,366.02,95,1,1,,,,Business,Router_Model_3,Issue resolved
199990025,Trouble,"",High,Cable maintenance,Cancelled,San Diego,SAN DIEGO,CA,32.512558,-116.81713,"2024-09-09 13:30:00","2024-09-09 15:30:00",120,T900096,2403.31,111,1,1,9,19,6,Business,"",Equipment replaced
199990026,Order,install,Critical,Fiber ONT installation,Cancelled,San Diego,SAN DIEGO,CA,32.61993,-117.037445,"2024-09-17 11:30:00","2024-09-17 12:00:00",30,T900013,5680.68,29,1,0,,,,Standard,Router_Model_3,Completed successfully
199990027,Trouble,"",Low,Bandwidth upgrade,Cancelled,Houston,HOUSTON,TX,29.85752,-95.24043,"2024-09-12 09:00:00","2024-09-12 09:30:00",30,T900111,2742.4,25,1,1,5,3,5,Premium,"",Equipment replaced
199990028,Trouble,"",High,Fiber ONT installation,Completed,New York,NEW YORK,NY,40.470226,-74.056816,"2024-09-26 13:45:00","2024-09-26 15:45:00",120,T900001,54.35,142,1,1,5,14,4,Standard,"",Equipment replaced
199990029,Trouble,"",Critical,Line repair,Cancelled,Los Angeles,LOS ANGELES,CA,34.296303,-118.423676,"2024-09-16 09:45:00","2024-09-16 10:15:00",30,T900054,3031.03,28,1,1,4,3,14,Premium,"",Issue resolved
199990030,Trouble,"",Normal,Line repair,Completed,Chicago,CHICAGO,IL,41.840237,-87.32412,"2024-08-13 09:15:00","2024-08-13 11:15:00",120,T900138,2459.0,154,1,1,1,5,3,Standard,"",Customer satisfied
199990031,Order,install,High,GPON equipment setup,Cancelled,San Antonio,SAN ANTONIO,TX,29.371946,-98.26765,"2024-08-12 14:15:00","2024-08-12 15:45:00",90,T900026,2721.52,80,1,1,,,,Premium,Router_Model_6,Customer satisfied
199990032,Trouble,"",High,Cable maintenance,Completed,Philadelphia,PHILADELPHIA,PA,39.722836,-74.95648,"2024-08-27 16:45:00","2024-08-27 17:45:00",60,T900084,32.28,67,0,0,6,14,11,Standard,"",Equipment replaced
199990033,Order,install,Low,Copper ONT installation,Completed,Houston,HOUSTON,TX,29.677523,-95.464485,"2024-08-12 15:15:00","2024-08-12 15:45:00",30,T900099,342.44,30,1,1,,,,Premium,Router_Model_5,Equipment replaced
199990034,Trouble,"",Low,GPON equipment setup,Completed,Philadelphia,PHILADELPHIA,PA,40.05102,-74.85521,"2024-10-03 11:45:00","2024-10-03 12:45:00",60,T900077,40.18,57,1,1,2,18,14,Standard,"",Completed successfully
199990035,Trouble,"",High,Bandwidth upgrade,Cancelled,Austin,AUSTIN,TX,30.15813,-97.55931,"2024-09-10 10:45:00","2024-09-10 12:15:00",90,T900039,2409.07,88,1,1,6,2,13,Premium,"",Equipment replaced
199990036,Order,install,High,Fiber ONT installation,Cancelled,Dallas,DALLAS,TX,32.98448,-96.65769,"2024-08-08 14:15:00","2024-08-08 16:15:00",120,T900021,2533.64,137,1,1,,,,Standard,Router_Model_1,Customer satisfied
199990037,Order,install,Low,Router installation,Cancelled,San Diego,SAN DIEGO,CA,32.726795,-117.385414,"2024-09-09 11:30:00","2024-09-09 12:30:00",60,T900058,2739.94,50,0,0,,,,Business,Router_Model_4,Equipment replaced
199990038,Trouble,"",Critical,Line repair,Cancelled,Austin,AUSTIN,TX,30.488573,-97.41497,"2024-08-16 11:15:00","2024-08-16 12:45:00",90,T900120,322.62,107,1,1,6,4,11,Business,"",Issue resolved
199990039,Trouble,"",Low,Cable maintenance,Completed,Dallas,DALLAS,TX,33.104588,-97.02139,"2024-09-15 13:00:00","2024-09-15 13:30:00",30,T900132,77.17,32,1,1,5,12,13,Premium,"",Customer satisfied
199990040,Trouble,"",Low,Router installation,Cancelled,Chicago,CHICAGO,IL,41.99544,-87.57366,"2024-08-14 11:30:00","2024-08-14 13:00:00",90,T900103,2582.7,87,0,0,7,19,8,Standard,"",Equipment replaced
199990041,Order,install,Critical,Router installation,Cancelled,Austin,AUSTIN,TX,30.1872,-97.83886,"2024-09-12 15:30:00","2024-09-12 16:00:00",30,T900121,385.47,30,1,0,,,,Standard,Router_Model_7,Completed successfully
199990042,Order,install,Critical,Copper ONT installation,Completed,San Diego,SAN DIEGO,CA,32.69346,-117.03531,"2024-08-24 16:15:00","2024-08-24 17:45:00",90,T900046,2754.9,116,1,1,,,,Premium,Router_Model_9,Issue resolved
199990043,Trouble,"",Critical,Service restoration,Cancelled,San Antonio,SAN ANTONIO,TX,29.257807,-98.44673,"2024-08-14 11:15:00","2024-08-14 12:45:00",90,T900090,27.91,74,0,0,1,10,1,Business,"",Equipment replaced
199990044,Order,install,Critical,Router installation,Cancelled,Chicago,CHICAGO,IL,42.207977,-87.7061,"2024-10-14 10:30:00","2024-10-14 11:30:00",60,T900142,2399.0,60,1,0,,,,Premium,Router_Model_6,Customer satisfied
199990045,Order,install,High,Router installation,Completed,Philadelphia,PHILADELPHIA,PA,40.16344,-75.23679,"2024-08-05 15:30:00","2024-08-05 16:00:00",30,T900149,3602.3,30,1,1,,,,Premium,Router_Model_3,Completed successfully
199990046,Trouble,"",High,Cable maintenance,Cancelled,Houston,HOUSTON,TX,29.711235,-95.44216,"2024-09-09 15:00:00","2024-09-09 16:00:00",60,T900075,3367.99,48,1,1,4,8,8,Premium,"",Equipment replaced
199990047,Trouble,"",High,Service migration,Cancelled,Dallas,DALLAS,TX,32.536087,-96.71848,"2024-10-24 13:30:00","2024-10-24 14:30:00",60,T900115,2305.03,59,0,0,6,17,8,Premium,"",Issue resolved
199990048,Order,install,Normal,Router installation,Cancelled,San Diego,SAN DIEGO,CA,33.050785,-117.20239,"2024-08-11 11:00:00","2024-08-11 13:00:00",120,T900127,2279.59,126,0,0,,,,Standard,Router_Model_2,Customer satisfied
199990049,Order,upgrade,Normal,Service migration,Cancelled,San Diego,SAN DIEGO,CA,32.450745,-117.27777,"2024-09-09 11:45:00","2024-09-09 12:15:00",30,T900050,2730.55,32,1,0,,,,Business,Router_Model_8,Equipment replaced
199990050,Order,upgrade,Normal,Equipment upgrade,Completed,Chicago,CHICAGO,IL,41.759098,-87.78074,"2024-10-17 11:00:00","2024-10-17 12:00:00",60,T900145,2415.79,59,1,1,,,,Standard,Router_Model_8,Completed successfully
199990051,Order,install,High,Copper ONT installation,Cancelled,Los Angeles,LOS ANGELES,CA,34.36797,-118.5269,"2024-10-17 15:00:00","2024-10-17 16:30:00",90,T900098,2781.98,82,0,0,,,,Standard,Router_Model_2,Customer satisfied
199990052,Order,install,Normal,Fiber ONT installation,Cancelled,Phoenix,PHOENIX,AZ,33.27349,-112.395615,"2024-10-26 13:15:00","2024-10-26 14:15:00",60,T900001,5082.79,74,1,1,,,,Business,Router_Model_3,Equipment replaced
199990053,Order,install,Low,GPON equipment setup,Cancelled,Austin,AUSTIN,TX,30.35396,-97.49348,"2024-09-04 15:15:00","2024-09-04 16:15:00",60,T900015,2682.18,70,1,1,,,,Standard,Router_Model_5,Equipment replaced
