Dispatch_id,Ticket_type,Order_type,Priority,Required_skill,Status,City,County,State,Customer_latitude,Customer_longitude,Appointment_start_time,Appointment_end_time,Duration_min,Assigned_technician_id,Distance_km,Actual_duration_min,Productive_dispatch,First_time_fix,Fault_code,Remedy_code,Cause_code,Service_tier,Equipment_installed,Technician_notes
199900000,Trouble,,Low,Network troubleshooting,Completed,Austin,AUSTIN,TX,30.354238,-98.089547,2025-08-02 10:00:00,2025-08-02 10:30:00,30,T900006,3831.28,31,1,1,5,8,6,Premium,,Equipment replaced
199900001,Trouble,,Normal,Router installation,Cancelled,New York,NEW YORK,NY,40.805793,-74.066499,2025-09-15 13:15:00,2025-09-15 14:15:00,60,T900110,5635.22,66,1,1,5,17,6,Standard,,Completed successfully
199900002,Order,install,Normal,Fiber ONT installation,Completed,Los Angeles,LOS ANGELES,CA,33.98934,-118.590802,2025-10-02 08:00:00,2025-10-02 09:00:00,60,T900005,5658.53,71,1,1,,,,Premium,Router_Model_4,Customer satisfied
199900003,Trouble,,Normal,Connectivity diagnosis,Cancelled,Dallas,DALLAS,TX,32.899508,-96.951949,2025-09-02 12:45:00,2025-09-02 14:45:00,120,T900099,527.5,130,1,1,1,14,8,Business,,Customer satisfied
199900004,Trouble,,Normal,Service migration,Cancelled,Los Angeles,LOS ANGELES,CA,34.073127,-118.131172,2025-10-22 08:30:00,2025-10-22 10:30:00,120,T900110,252.11,148,1,1,9,8,9,Standard,,Equipment replaced
199900005,Trouble,,Low,Line repair,Completed,Philadelphia,PHILADELPHIA,PA,39.662339,-75.197283,2025-08-08 08:45:00,2025-08-08 09:15:00,30,T900144,3571.6,27,1,1,7,1,11,Standard,,Customer satisfied
199900006,Order,install,Critical,Router installation,Cancelled,New York,NEW YORK,NY,40.506835,-73.734421,2025-10-20 13:45:00,2025-10-20 15:15:00,90,T900028,5699.72,103,1,1,,,,Business,Router_Model_6,Completed successfully
199900007,Order,install,Normal,Fiber ONT installation,Completed,Chicago,CHICAGO,IL,41.7409,-87.676861,2025-09-18 14:00:00,2025-09-18 14:30:00,30,T900026,4265.61,26,0,0,,,,Premium,Router_Model_9,Issue resolved
199900008,Order,install,Critical,Router installation,Completed,Austin,AUSTIN,TX,30.097279,-97.748782,2025-10-25 12:15:00,2025-10-25 13:45:00,90,T900067,2006.07,100,0,0,,,,Business,Router_Model_3,Issue resolved
199900009,Order,install,Critical,Fiber ONT installation,Cancelled,Houston,HOUSTON,TX,29.773166,-95.517124,2025-09-27 13:45:00,2025-09-27 14:15:00,30,T900058,20.07,32,1,0,,,,Standard,Router_Model_10,Issue resolved
199900010,Order,install,High,Fiber ONT installation,Completed,Austin,AUSTIN,TX,30.160624,-97.520385,2025-08-09 12:30:00,2025-08-09 14:30:00,120,T900015,2754.85,132,1,0,,,,Standard,Router_Model_5,Customer satisfied
199900011,Trouble,,High,GPON equipment setup,Cancelled,Houston,HOUSTON,TX,30.002611,-95.466938,2025-09-21 09:30:00,2025-09-21 10:30:00,60,T900086,3385.23,73,0,0,8,12,10,Standard,,Equipment replaced
199900012,Trouble,,Critical,Service restoration,Completed,Austin,AUSTIN,TX,30.224718,-97.977207,2025-10-21 10:00:00,2025-10-21 10:30:00,30,T900135,23.83,29,1,1,8,1,1,Premium,,Issue resolved
199900013,Order,upgrade,Critical,Equipment upgrade,Cancelled,Dallas,DALLAS,TX,32.446519,-96.613266,2025-08-28 12:45:00,2025-08-28 14:45:00,120,T900058,403.34,137,1,1,,,,Standard,Router_Model_2,Equipment replaced
199900014,Order,install,Critical,GPON equipment setup,Cancelled,San Diego,SAN DIEGO,CA,32.925462,-117.256866,2025-08-19 09:00:00,2025-08-19 09:30:00,30,T900114,26.7,29,0,0,,,,Business,Router_Model_1,Issue resolved
199900015,Order,install,Normal,Copper ONT installation,Completed,San Antonio,SAN ANTONIO,TX,29.316447,-98.379837,2025-10-22 09:30:00,2025-10-22 11:30:00,120,T900035,2621.2,152,0,0,,,,Premium,Router_Model_4,Issue resolved
199900016,Trouble,,Low,Service migration,Cancelled,New York,NEW YORK,NY,41.040647,-73.854207,2025-08-28 11:00:00,2025-08-28 12:30:00,90,T900076,214.29,82,1,1,6,19,9,Business,,Equipment replaced
199900017,Order,upgrade,Normal,Bandwidth upgrade,Cancelled,Dallas,DALLAS,TX,32.981658,-96.83914,2025-09-10 15:45:00,2025-09-10 16:15:00,30,T900135,408.52,37,0,0,,,,Business,Router_Model_1,Completed successfully
199900018,Trouble,,High,Fiber ONT installation,Completed,Austin,AUSTIN,TX,30.458981,-97.820835,2025-08-15 15:45:00,2025-08-15 17:45:00,120,T900066,1897.15,111,1,1,5,1,6,Premium,,Completed successfully
199900019,Trouble,,Low,Equipment check,Cancelled,Philadelphia,PHILADELPHIA,PA,40.191216,-74.954141,2025-08-26 14:00:00,2025-08-26 16:00:00,120,T900089,7.26,153,0,0,10,11,4,Premium,,Equipment replaced
199900020,Trouble,,High,Cable maintenance,Completed,Houston,HOUSTON,TX,29.587686,-95.176117,2025-09-11 09:15:00,2025-09-11 09:45:00,30,T900149,396.72,37,1,1,5,2,3,Premium,,Equipment replaced
199900021,Trouble,,High,Service restoration,Completed,San Antonio,SAN ANTONIO,TX,29.335532,-98.403304,2025-09-15 09:45:00,2025-09-15 11:15:00,90,T900012,4023.18,99,0,0,9,10,12,Standard,,Equipment replaced
199900022,Order,upgrade,Normal,Service migration,Cancelled,New York,NEW YORK,NY,40.459552,-74.016059,2025-09-23 10:15:00,2025-09-23 10:45:00,30,T900068,5003.47,33,1,1,,,,Business,Router_Model_5,Equipment replaced
199900023,Order,upgrade,Critical,Equipment upgrade,Cancelled,Houston,HOUSTON,TX,29.98132,-95.236972,2025-09-25 14:45:00,2025-09-25 16:15:00,90,T900006,3556.04,103,1,1,,,,Premium,Router_Model_4,Issue resolved
199900024,Trouble,,Low,Connectivity diagnosis,Cancelled,New York,NEW YORK,NY,41.02755,-74.325793,2025-08-01 14:45:00,2025-08-01 16:15:00,90,T900094,3923.36,114,1,0,2,15,14,Standard,,Equipment replaced
199900025,Trouble,,Normal,Service restoration,Cancelled,Los Angeles,LOS ANGELES,CA,33.828087,-118.189386,2025-08-24 11:45:00,2025-08-24 12:15:00,30,T900099,2705.23,34,0,0,4,7,3,Standard,,Completed successfully
199900026,Order,upgrade,Low,Equipment upgrade,Cancelled,Dallas,DALLAS,TX,32.809769,-96.992362,2025-09-03 12:45:00,2025-09-03 14:15:00,90,T900092,526.22,91,0,0,,,,Business,Router_Model_10,Issue resolved
199900027,Trouble,,Normal,Service migration,Completed,New York,NEW YORK,NY,40.668905,-73.871774,2025-08-14 08:00:00,2025-08-14 10:00:00,120,T900025,5701.16,111,1,1,5,6,10,Business,,Issue resolved
199900028,Trouble,,High,Line repair,Cancelled,Los Angeles,LOS ANGELES,CA,33.943104,-117.987335,2025-10-20 12:00:00,2025-10-20 13:00:00,60,T900132,2508.32,71,0,0,6,13,12,Premium,,Issue resolved
